URL,Version,Content Site,Expected Path
"/docs/:version/core/query-shapes","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/query-shapes"
"/docs/:version/core/query-shapes","v7.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v7.0/source/core/query-shapes"
"/docs/:version/core/cursors","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/cursors"
"/docs/:version/core/cursors","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/cursors"
"/docs/:version/core/indexes/create-index","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/create-index"
"/docs/:version/core/indexes/create-index","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/create-index"
"/docs/:version/core/indexes/create-index","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/create-index"
"/docs/:version/core/indexes/create-index/specify-index-name","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/create-index/specify-index-name"
"/docs/:version/core/indexes/create-index/specify-index-name","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/create-index/specify-index-name"
"/docs/:version/core/indexes/create-index/specify-index-name","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/create-index/specify-index-name"
"/docs/:version/core/indexes/drop-index","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/drop-index"
"/docs/:version/core/indexes/drop-index","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/drop-index"
"/docs/:version/core/indexes/drop-index","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/drop-index"
"/docs/:version/core/indexes/index-types","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types"
"/docs/:version/core/indexes/index-types","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types"
"/docs/:version/core/indexes/index-types","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types"
"/docs/:version/core/indexes/index-types/index-single","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-single"
"/docs/:version/core/indexes/index-types/index-single","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-single"
"/docs/:version/core/indexes/index-types/index-single","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-single"
"/docs/:version/core/indexes/index-types/index-single/create-single-field-index","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-single/create-single-field-index"
"/docs/:version/core/indexes/index-types/index-single/create-single-field-index","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-single/create-single-field-index"
"/docs/:version/core/indexes/index-types/index-single/create-single-field-index","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-single/create-single-field-index"
"/docs/:version/core/indexes/index-types/index-single/create-embedded-object-index","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-single/create-embedded-object-index"
"/docs/:version/core/indexes/index-types/index-single/create-embedded-object-index","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-single/create-embedded-object-index"
"/docs/:version/core/indexes/index-types/index-single/create-embedded-object-index","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-single/create-embedded-object-index"
"/docs/:version/core/indexes/index-types/index-compound","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-compound"
"/docs/:version/core/indexes/index-types/index-compound","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-compound"
"/docs/:version/core/indexes/index-types/index-compound","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-compound"
"/docs/:version/core/indexes/index-types/index-compound/create-compound-index","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-compound/create-compound-index"
"/docs/:version/core/indexes/index-types/index-compound/create-compound-index","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-compound/create-compound-index"
"/docs/:version/core/indexes/index-types/index-compound/create-compound-index","v6.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v6.0/source/core/indexes/index-types/index-compound/create-compound-index"
"/docs/:version/core/indexes/index-types/index-compound/sort-order","v4.4","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v4.4/source/core/indexes/index-types/index-compound/sort-order"
"/docs/:version/core/indexes/index-types/index-compound/sort-order","v5.0","docs","/Users/bianca.laube/Documents/repos/docs-content-repos/docs-mongodb-internal/content/manual/v5.0/source/core/indexes/index-types/index-compound/sort-order"
